-0.05, -0.10, 0.94, -0.08, 0.02, 0.95,
 -0.07, -0.09, 0.93, -0.08, 0.02, 0.95,
 -0.08, -0.09, 0.93, -0.10, 0.02, 0.95,
 -0.05, -0.08, 0.95, -0.09, 0.03, 0.95,
 -0.04, -0.07, 0.95, -0.09, 0.04, 0.96,
 -0.04, -0.08, 0.95, -0.07, 0.04, 0.95,
 -0.07, -0.09, 0.93, -0.08, 0.07, 0.95,
 -0.05, -0.07, 0.93, -0.07, 0.02, 0.95,
 -0.05, -0.06, 0.95, -0.09, 0.00, 0.95,
 -0.05, -0.09, 0.93, -0.08, -0.02, 0.96,
 -0.08, -0.11, 0.94, -0.10, -0.02, 0.95,
 -0.06, -0.11, 0.94, -0.10, 0.00, 0.96,
 -0.07, -0.04, 0.92, -0.09, 0.03, 0.95,
 -0.05, -0.09, 0.93, -0.08, -0.02, 0.95,
 -0.07, -0.09, 0.93, -0.07, -0.01, 0.96,
 -0.07, -0.08, 0.93, -0.09, 0.01, 0.95,
 -0.09, -0.09, 0.93, -0.08, 0.01, 0.96,
 -0.08, -0.04, 0.95, -0.09, 0.04, 0.95,
 -0.07, -0.08, 0.91, -0.08, 0.03, 0.95,
 -0.07, -0.01, 0.95, -0.07, 0.02, 0.95,
 -0.06, -0.03, 0.93, -0.08, 0.03, 0.95,
 -0.05, -0.05, 0.95, -0.08, 0.02, 0.95,
 -0.07, -0.07, 0.95, -0.09, -0.01, 0.95,
 -0.07, -0.11, 0.93, -0.08, -0.01, 0.96,
 -0.07, -0.07, 0.95, -0.09, 0.03, 0.93,
 -0.06, -0.05, 0.94, -0.09, 0.02, 0.95,
 -0.07, -0.07, 0.94, -0.10, 0.02, 0.95,
 -0.07, -0.05, 0.94, -0.07, 0.01, 0.96,
 -0.06, -0.06, 0.95, -0.07, -0.02, 0.96,
 -0.07, -0.06, 0.94, -0.08, 0.02, 0.93,
 -0.07, -0.06, 0.94, -0.09, 0.01, 0.94,
 -0.06, -0.07, 0.94, -0.09, 0.00, 0.95,
 -0.06, -0.06, 0.94, -0.07, 0.01, 0.96,
 -0.06, -0.05, 0.93, -0.09, 0.00, 0.95,
 -0.06, -0.07, 0.95, -0.09, 0.02, 0.95,
 -0.07, -0.08, 0.94, -0.09, 0.01, 0.95,
 -0.06, -0.07, 0.94, -0.08, 0.02, 0.95,
 -0.06, -0.05, 0.94, -0.08, 0.01, 0.95,
 -0.07, -0.06, 0.94, -0.08, 0.01, 0.95,
 -0.08, -0.07, 0.94, -0.08, 0.01, 0.95,
 -0.06, -0.07, 0.94, -0.09, 0.00, 0.94,
 -0.07, -0.06, 0.94, -0.08, 0.01, 0.96,
 -0.06, -0.06, 0.95, -0.09, 0.02, 0.95,
 -0.07, -0.08, 0.94, -0.09, 0.01, 0.95,
 -0.06, -0.07, 0.94, -0.09, 0.00, 0.95,
