1.05, 0.05, -0.16, 0.99, 0.20, -0.14,
 1.05, 0.03, -0.16, 0.98, 0.18, -0.13,
 1.04, 0.04, -0.16, 0.98, 0.20, -0.15,
 1.05, 0.03, -0.17, 0.99, 0.18, -0.13,
 1.06, 0.04, -0.16, 0.99, 0.20, -0.14,
 1.06, 0.04, -0.14, 0.99, 0.20, -0.13,
 1.05, 0.04, -0.16, 1.00, 0.18, -0.12,
 1.06, 0.04, -0.14, 1.00, 0.18, -0.11,
 1.03, 0.06, -0.21, 0.97, 0.23, -0.17,
 1.05, 0.03, -0.13, 0.97, 0.16, -0.13,
 1.05, 0.05, -0.15, 0.99, 0.22, -0.12,
 1.05, 0.00, -0.16, 0.99, 0.19, -0.11,
 1.04, 0.05, -0.13, 0.98, 0.17, -0.15,
 1.06, 0.01, -0.16, 1.00, 0.18, -0.11,
 1.04, 0.03, -0.21, 0.98, 0.21, -0.16,
 1.06, 0.04, -0.16, 0.99, 0.18, -0.16,
 1.05, 0.04, -0.14, 1.00, 0.22, -0.13,
 1.05, 0.05, -0.18, 0.99, 0.20, -0.13,
 1.05, 0.04, -0.17, 0.98, 0.18, -0.14,
 1.06, 0.03, -0.15, 0.98, 0.20, -0.13,
 1.04, 0.04, -0.17, 0.99, 0.20, -0.12,
 1.06, 0.03, -0.15, 0.99, 0.17, -0.13,
 1.05, 0.05, -0.17, 0.99, 0.19, -0.12,
 1.05, 0.03, -0.18, 0.98, 0.20, -0.13,
 1.05, 0.02, -0.17, 0.99, 0.17, -0.13,
 1.07, 0.04, -0.14, 0.99, 0.21, -0.14,
 1.06, 0.04, -0.15, 0.98, 0.18, -0.13,
 1.05, 0.03, -0.18, 0.99, 0.18, -0.13,
 1.05, 0.06, -0.17, 0.99, 0.18, -0.12,
 1.05, 0.04, -0.17, 0.99, 0.20, -0.14,
 1.05, 0.04, -0.17, 0.98, 0.18, -0.15,
 1.05, 0.05, -0.16, 0.98, 0.20, -0.14,
 1.05, 0.03, -0.17, 0.98, 0.18, -0.13,
 1.07, 0.02, -0.14, 0.99, 0.17, -0.11,
 1.05, 0.04, -0.13, 0.98, 0.21, -0.13,
 1.05, 0.04, -0.17, 0.98, 0.20, -0.14,
 1.05, 0.04, -0.16, 0.99, 0.18, -0.11,
 1.05, 0.04, -0.15, 0.99, 0.21, -0.13,
 1.05, 0.02, -0.14, 1.00, 0.20, -0.14,
 1.05, 0.05, -0.18, 0.98, 0.18, -0.13,
 1.06, 0.03, -0.14, 1.00, 0.18, -0.13,
 1.05, 0.02, -0.16, 0.99, 0.20, -0.13,
 1.05, 0.04, -0.16, 0.98, 0.20, -0.16,
 1.06, 0.05, -0.14, 0.98, 0.19, -0.16,
 1.05, 0.04, -0.16, 0.99, 0.20, -0.13, 
