
 1.05, 0.04, -0.17, 0.98, 0.19, -0.14, 4.00
 1.06, 0.03, -0.15, 0.98, 0.20, -0.14, 4.05
 1.05, 0.03, -0.19, 0.99, 0.17, -0.14, 4.10
 1.05, 0.02, -0.18, 0.98, 0.20, -0.14, 4.15
 1.05, 0.04, -0.19, 0.99, 0.19, -0.15, 4.20
 1.05, 0.03, -0.17, 0.98, 0.20, -0.14, 4.25
 1.05, 0.03, -0.16, 0.98, 0.19, -0.15, 4.30
 1.05, 0.03, -0.16, 0.99, 0.20, -0.14, 4.35
 1.05, 0.04, -0.17, 0.98, 0.20, -0.14, 4.40
 1.05, 0.04, -0.18, 0.99, 0.20, -0.15, 4.45
 1.05, 0.04, -0.15, 0.98, 0.20, -0.13, 4.50
 1.05, 0.04, -0.18, 0.99, 0.19, -0.14, 4.55
 1.05, 0.04, -0.18, 0.98, 0.18, -0.15, 4.60
 1.05, 0.04, -0.17, 0.98, 0.21, -0.16, 4.65
 1.05, 0.04, -0.17, 0.98, 0.18, -0.14, 4.70
 1.04, 0.02, -0.18, 0.99, 0.18, -0.13, 4.75
 1.06, 0.03, -0.18, 0.99, 0.18, -0.14, 4.80
 1.05, 0.03, -0.18, 0.98, 0.20, -0.14, 4.85
 1.06, 0.02, -0.16, 0.99, 0.19, -0.14, 4.90
 1.05, 0.03, -0.20, 0.98, 0.19, -0.14, 4.95
 1.05, 0.05, -0.15, 0.98, 0.19, -0.15, 5.00
 1.05, 0.01, -0.16, 1.00, 0.17, -0.14, 5.05
 1.05, 0.04, -0.17, 0.98, 0.19, -0.13, 5.10
 1.05, 0.04, -0.16, 0.99, 0.17, -0.14, 5.15
 1.06, 0.04, -0.18, 0.98, 0.21, -0.13, 5.20
 1.05, 0.05, -0.16, 0.98, 0.19, -0.16, 5.25
 1.05, 0.03, -0.19, 0.99, 0.18, -0.14, 5.30
 1.05, 0.04, -0.20, 0.98, 0.19, -0.14, 5.35
 1.06, 0.04, -0.15, 0.98, 0.19, -0.14, 5.40
 1.05, 0.01, -0.14, 1.00, 0.18, -0.12, 5.45
 1.05, 0.03, -0.19, 0.98, 0.20, -0.12, 5.50
 1.06, 0.06, -0.15, 0.99, 0.18, -0.14, 5.55
